"Timestamp","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [심적으로 지쳐있다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [학기를 잘 마칠 자신이 없다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [그냥 휴식을 즐기고 싶다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [신체의 일부가 불편하다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [자신감과 자존감이 떨어져 있다.]","위와 같은 이유들을 종합적으로 고려해 보았을 때, 재충전을 위한 휴학이 학생에게 어느 정도의 만족도를 줄 수 있을 것이라고 생각하시나요?","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [여행을 가고 싶다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [이대로 졸업하기 아깝다는 생각이 든다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [졸업 전 하고 싶은 것이 생겼다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [남들과 다른 색다른 경험을 하고 싶다.]","위와 같은 이유들을 종합적으로 고려해 보았을 때, 새로운 경험을 위한 휴학이 학생에게 어느 정도의 만족도를 줄 수 있을 것이라고 생각하시나요?","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [목표로 하는 시험이 있다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [인턴 경험을 쌓고 싶다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [지금의 희망 진로에 대한 확신이 없다.]","어떤 학생이 아래와 같은 이유로 휴학을 하고 싶다고 할 때, 이 학생에게 휴학의 필요성이 어느 정도인지 체크해 주세요. [학회 활동에 집중하고 싶다.]","위와 같은 이유들을 종합적으로 고려해 보았을 때, 진로를 준비하기 위한 휴학이 학생에게 어느 정도의 만족도를 줄 수 있을 것이라고 생각하시나요?","본인은 휴학 경험이 있으신가요?","휴학을 결정한 이유는 무엇인가요?","휴학을 하지 않은 이유는 무엇인가요?"
"2021/04/30 9:15:04 PM GMT+9","필요하다.","필요하지 않다.","전혀 필요하지 않다.","보통이다.","매우 필요하다.","8","보통이다.","보통이다.","필요하다.","필요하다.","8","필요하다.","보통이다.","필요하지 않다.","보통이다.","4","아니오","","필요성을 느끼지 못해서"
"2021/04/30 9:16:04 PM GMT+9","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","9","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","8","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","8","네","새로운 경험을 위해",""
"2021/04/30 9:27:11 PM GMT+9","필요하지 않다.","보통이다.","전혀 필요하지 않다.","필요하다.","매우 필요하다.","7","필요하지 않다.","보통이다.","매우 필요하다.","필요하다.","8","매우 필요하다.","필요하다.","보통이다.","필요하지 않다.","5","네","우울증, 인간관계",""
"2021/04/30 9:28:40 PM GMT+9","필요하지 않다.","필요하지 않다.","필요하지 않다.","필요하지 않다.","필요하지 않다.","1","필요하지 않다.","필요하지 않다.","매우 필요하다.","필요하지 않다.","6","필요하다.","필요하지 않다.","필요하지 않다.","필요하지 않다.","3","네","병역",""
"2021/04/30 9:32:02 PM GMT+9","매우 필요하다.","매우 필요하다.","매우 필요하다.","필요하다.","매우 필요하다.","10","매우 필요하다.","필요하다.","필요하다.","필요하다.","9","매우 필요하다.","매우 필요하다.","필요하다.","필요하다.","9","네","재충전을 위해",""
"2021/04/30 9:34:05 PM GMT+9","보통이다.","필요하다.","필요하지 않다.","필요하다.","보통이다.","8","보통이다.","필요하다.","필요하다.","필요하다.","9","필요하다.","필요하다.","필요하다.","보통이다.","8","네","재충전을 위해",""
"2021/04/30 9:34:14 PM GMT+9","매우 필요하다.","보통이다.","매우 필요하다.","매우 필요하다.","필요하다.","7","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","필요하다.","매우 필요하다.","필요하다.","보통이다.","6","네","새로운 경험을 위해",""
"2021/04/30 9:35:55 PM GMT+9","필요하다.","필요하다.","보통이다.","필요하다.","필요하다.","7","필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","8","매우 필요하다.","매우 필요하다.","필요하다.","매우 필요하다.","9","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 9:38:34 PM GMT+9","매우 필요하다.","필요하다.","보통이다.","매우 필요하다.","매우 필요하다.","7","필요하지 않다.","필요하지 않다.","매우 필요하다.","매우 필요하다.","8","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","네","재충전을 위해",""
"2021/04/30 9:39:57 PM GMT+9","필요하다.","필요하지 않다.","필요하다.","매우 필요하다.","매우 필요하다.","7","필요하지 않다.","필요하다.","매우 필요하다.","보통이다.","4","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 9:43:32 PM GMT+9","매우 필요하다.","매우 필요하다.","보통이다.","매우 필요하다.","매우 필요하다.","7","전혀 필요하지 않다.","필요하지 않다.","매우 필요하다.","필요하다.","6","매우 필요하다.","필요하다.","필요하지 않다.","보통이다.","7","아니오","","필요성을 느끼지 못해서"
"2021/04/30 9:46:30 PM GMT+9","필요하지 않다.","필요하다.","필요하지 않다.","필요하다.","필요하지 않다.","6","필요하다.","필요하다.","매우 필요하다.","필요하다.","8","매우 필요하다.","필요하다.","필요하다.","보통이다.","9","아니오","","필요성을 느끼지 못해서"
"2021/04/30 9:53:08 PM GMT+9","매우 필요하다.","보통이다.","필요하다.","보통이다.","필요하다.","9","필요하다.","필요하다.","매우 필요하다.","필요하다.","9","보통이다.","필요하다.","필요하다.","보통이다.","7","네","재충전을 위해",""
"2021/04/30 9:53:08 PM GMT+9","필요하다.","매우 필요하다.","필요하지 않다.","매우 필요하다.","매우 필요하다.","4","필요하다.","필요하다.","매우 필요하다.","매우 필요하다.","8","매우 필요하다.","매우 필요하다.","보통이다.","필요하다.","7","네","재충전을 위해",""
"2021/04/30 9:53:47 PM GMT+9","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","필요하다.","필요하다.","매우 필요하다.","매우 필요하다.","8","필요하다.","보통이다.","필요하다.","필요하지 않다.","7","네","재충전을 위해",""
"2021/04/30 9:54:52 PM GMT+9","필요하다.","보통이다.","필요하지 않다.","필요하다.","보통이다.","5","필요하다.","필요하다.","필요하다.","필요하다.","7","필요하다.","필요하다.","보통이다.","필요하다.","7","아니오","","필요성을 느끼지 못해서"
"2021/04/30 9:55:40 PM GMT+9","필요하다.","매우 필요하다.","보통이다.","필요하다.","필요하지 않다.","4","필요하지 않다.","필요하다.","매우 필요하다.","매우 필요하다.","9","매우 필요하다.","필요하다.","보통이다.","필요하다.","8","네","재충전을 위해",""
"2021/04/30 10:03:54 PM GMT+9","필요하다.","필요하다.","보통이다.","보통이다.","필요하다.","6","보통이다.","필요하다.","매우 필요하다.","필요하다.","8","필요하다.","필요하다.","보통이다.","보통이다.","7","네","두번했는데 첫번째는 재충전을 위해, 두번째는 진로를 위해 했습니다",""
"2021/04/30 10:06:00 PM GMT+9","매우 필요하다.","필요하다.","보통이다.","매우 필요하다.","매우 필요하다.","9","필요하다.","필요하다.","매우 필요하다.","매우 필요하다.","9","필요하다.","필요하다.","필요하다.","보통이다.","7","네","재충전을 위해",""
"2021/04/30 10:10:47 PM GMT+9","필요하다.","보통이다.","필요하지 않다.","필요하다.","보통이다.","7","보통이다.","필요하지 않다.","보통이다.","필요하다.","5","필요하다.","필요하다.","필요하다.","필요하다.","8","네","군휴학",""
"2021/04/30 10:13:34 PM GMT+9","필요하다.","필요하다.","보통이다.","필요하다.","필요하다.","8","보통이다.","필요하다.","매우 필요하다.","필요하다.","7","필요하다.","보통이다.","보통이다.","보통이다.","6","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 10:13:35 PM GMT+9","매우 필요하다.","보통이다.","보통이다.","매우 필요하다.","매우 필요하다.","10","보통이다.","매우 필요하다.","매우 필요하다.","필요하다.","8","필요하다.","필요하다.","매우 필요하다.","보통이다.","7","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 10:13:36 PM GMT+9","보통이다.","보통이다.","보통이다.","필요하다.","보통이다.","7","보통이다.","보통이다.","필요하다.","필요하다.","7","필요하다.","필요하다.","필요하다.","필요하다.","8","아니오","","필요성을 느끼지 못해서"
"2021/04/30 10:13:38 PM GMT+9","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 10:15:04 PM GMT+9","매우 필요하다.","필요하지 않다.","필요하지 않다.","매우 필요하다.","매우 필요하다.","7","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","매우 필요하다.","매우 필요하다.","보통이다.","매우 필요하다.","8","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 10:22:52 PM GMT+9","필요하다.","보통이다.","필요하지 않다.","필요하다.","필요하다.","7","보통이다.","보통이다.","필요하다.","필요하다.","7","필요하다.","매우 필요하다.","필요하다.","보통이다.","7","네","진로를 준비하기 위해",""
"2021/04/30 10:26:09 PM GMT+9","필요하다.","필요하지 않다.","보통이다.","필요하다.","보통이다.","8","필요하다.","필요하다.","매우 필요하다.","필요하다.","9","보통이다.","필요하다.","보통이다.","필요하다.","7","아니오","","필요성을 느끼지 못해서"
"2021/04/30 10:27:00 PM GMT+9","매우 필요하다.","매우 필요하다.","보통이다.","매우 필요하다.","매우 필요하다.","10","필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","필요하다.","매우 필요하다.","매우 필요하다.","필요하다.","10","네","재충전을 위해",""
"2021/04/30 10:33:12 PM GMT+9","보통이다.","필요하지 않다.","필요하지 않다.","필요하다.","보통이다.","8","보통이다.","필요하지 않다.","보통이다.","필요하지 않다.","7","매우 필요하다.","매우 필요하다.","필요하지 않다.","필요하지 않다.","8","네","진로를 준비하기 위해",""
"2021/04/30 10:42:06 PM GMT+9","필요하다.","필요하지 않다.","보통이다.","매우 필요하다.","필요하다.","8","보통이다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","9","매우 필요하다.","매우 필요하다.","필요하다.","필요하다.","8","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/04/30 10:47:48 PM GMT+9","필요하다.","매우 필요하다.","보통이다.","매우 필요하다.","필요하다.","7","필요하다.","필요하다.","매우 필요하다.","보통이다.","8","매우 필요하다.","매우 필요하다.","필요하다.","필요하지 않다.","9","네","새로운 경험을 위해",""
"2021/04/30 10:49:27 PM GMT+9","필요하다.","보통이다.","매우 필요하다.","필요하다.","매우 필요하다.","10","필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","10","매우 필요하다.","매우 필요하다.","매우 필요하다.","필요하다.","10","아니오","","1학년 때 휴학한 것처럼 놀아서"
"2021/04/30 11:29:26 PM GMT+9","매우 필요하다.","필요하다.","필요하다.","매우 필요하다.","매우 필요하다.","6","보통이다.","보통이다.","필요하다.","보통이다.","3","필요하다.","필요하다.","필요하다.","보통이다.","5","네","진로를 준비하기 위해",""
"2021/04/30 11:32:41 PM GMT+9","매우 필요하다.","필요하다.","보통이다.","필요하다.","필요하다.","9","필요하다.","매우 필요하다.","매우 필요하다.","보통이다.","6","보통이다.","필요하다.","필요하다.","필요하지 않다.","5","네","재충전을 위해",""
"2021/05/01 12:15:42 AM GMT+9","매우 필요하다.","필요하다.","필요하다.","필요하다.","매우 필요하다.","8","필요하다.","매우 필요하다.","매우 필요하다.","보통이다.","8","매우 필요하다.","보통이다.","보통이다.","보통이다.","5","네","재충전을 위해",""
"2021/05/01 12:33:30 AM GMT+9","매우 필요하다.","필요하다.","필요하다.","매우 필요하다.","필요하다.","10","필요하다.","필요하다.","매우 필요하다.","필요하다.","9","필요하다.","필요하다.","보통이다.","필요하다.","8","네","재충전을 위해",""
"2021/05/01 8:48:45 AM GMT+9","필요하다.","필요하지 않다.","보통이다.","필요하다.","필요하다.","9","필요하다.","필요하다.","필요하다.","필요하다.","8","매우 필요하다.","매우 필요하다.","필요하다.","필요하다.","9","아니오","","코로나로 인해 원래의 계획이 무산되어서"
"2021/05/01 9:31:14 AM GMT+9","필요하다.","필요하다.","전혀 필요하지 않다.","보통이다.","필요하다.","7","필요하지 않다.","필요하다.","매우 필요하다.","보통이다.","8","매우 필요하다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","8","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/05/01 11:15:53 AM GMT+9","매우 필요하다.","매우 필요하다.","필요하다.","필요하다.","필요하다.","8","필요하다.","필요하다.","필요하다.","보통이다.","10","필요하다.","매우 필요하다.","필요하다.","매우 필요하다.","10","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"
"2021/05/01 2:01:38 PM GMT+9","필요하다.","필요하다.","필요하다.","매우 필요하다.","필요하다.","9","필요하다.","매우 필요하다.","매우 필요하다.","필요하다.","9","매우 필요하다.","필요하다.","필요하다.","필요하다.","9","아니오","","필요성을 느끼지 못해서"
"2021/05/01 4:19:13 PM GMT+9","필요하지 않다.","필요하다.","전혀 필요하지 않다.","매우 필요하다.","필요하지 않다.","5","필요하지 않다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","9","매우 필요하다.","필요하다.","보통이다.","필요하다.","8","네","재충전을 위해",""
"2021/05/01 4:26:14 PM GMT+9","필요하다.","필요하지 않다.","매우 필요하다.","매우 필요하다.","매우 필요하다.","7","필요하다.","필요하다.","매우 필요하다.","매우 필요하다.","9","필요하다.","매우 필요하다.","필요하다.","필요하지 않다.","8","아니오","","졸업이 늦어지는 것에 대해 부담을 느껴서"